Count of Medal,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,MON,MAR,AFG,AHO,ALG,ANZ,ARG,ARM,AUS,AUT,AZE,BAH,BAR,BDI,BEL,BER,BLR,BOH,BOT,BRA,BRN,BUL,CAN,CHI,CHN,CIV,CMR,COL,CRC,CRO,CUB,CYP,CZE,DEN,DJI,DOM,ECU,EGY,ERI,ESP,EST,ETH,EUN,FIJ,FIN,FRA,FRG,GAB,GBR,GDR,GEO,GER,GHA,GRE,GRN,GUA,GUY,HAI,HKG,HUN,INA,IND,IOA,IRI,IRL,IRQ,ISL,ISR,ISV,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KOR,KOS,KSA,KUW,LAT,LIB,LIE,LTU,LUX,MAS,MDA,MEX,MGL,MKD,MNE,MOZ,MRI,NAM,NED,NEP,NGR,NIG,NOR,NZL,PAK,PAN,PAR,PER,PHI,POL,POR,PRK,PUR,QAT,ROU,RSA,RUS,SCG,SEN,SGP,SLO,SRB,SRI,SUD,SUI,SUR,SVK,SWE,SYR,TAN,TCH,TGA,THA,TJK,TOG,TPE,TTO,TUN,TUR,UAE,UAR,UGA,UKR,URS,URU,USA,UZB,VEN,VIE,WIF,YUG,ZAM,ZIM,(blank),Grand Total
1956,,,,,,,2,,67,16,,2,,,2,,,,,1,,18,39,4,,,,,,,,,,6,,,,,,,,,,,38,33,,,46,,,54,,1,,,,,,66,,17,,5,5,,1,,,55,,,25,,,,2,,,,,,,,,,,2,,,,,,,,,,,7,3,14,,,,,20,,,,,19,7,,,,,,,,,13,,,49,,,7,,,,,,,,7,,,,,206,12,149,,,,,23,,,,1043
1960,,1,,,,,4,,46,9,,,,,4,,,,,13,,7,30,,,,,,,,,,,23,,,,,,14,,1,,,19,15,,,28,,,98,1,3,,,,,,66,,13,,4,,1,,,,89,,,31,,,,,,,,,,,,,,,1,,,,,,,5,,,,11,3,14,,,,,32,2,,,,15,3,,,,1,,,,,14,,,16,,,23,,,,,1,,,9,,2,,,211,,152,,1,,5,17,,,,1058
1964,,,,,,,1,,44,17,,2,,,3,,,,,12,,10,12,,,,,,,,1,,,12,,,,,,,,1,,,20,38,,,30,,,126,1,,,,,,,56,,15,,2,1,,,,,61,,,62,,1,,3,,,,,,,,,,,1,,,,,,,33,,1,,15,6,16,,,,1,46,,1,,,16,,,,,,,,,,6,,,43,,,71,,,,,,6,2,6,,,,,221,1,177,,,,,15,,,,1215
1968,,,,,,,2,,51,20,,,,,3,,,,,4,,26,30,,,,1,,,,10,,,17,,,,,,,,2,,,12,36,61,,19,58,,,,1,,,,,,81,,16,,5,,,,,,41,1,,63,,12,,2,,,,,,,,,,,9,4,,,,,,23,,,,28,7,13,,,,,37,,,,,25,,,,,,,,,,22,,,25,,,50,,,,,1,,2,2,,,2,,229,,173,,1,,,29,,,,1256
1972,,,,,,,1,,20,8,,,,,2,,,,,2,,22,12,,,,,3,,,22,,,1,,,,,,2,,2,,,20,25,112,,29,171,,,1,2,,,,,,81,,14,,3,,,,,,34,1,,59,,12,,1,,,,,1,,,,,,1,1,,,,,,15,,1,1,25,14,15,,,,,47,,15,,,40,,,,,,,,,,25,,,26,,,49,,,,,,,1,1,,,2,,259,,195,,,,,18,,,,1414
1976,,,,,,,,,23,8,,,,,9,1,,,,3,,39,26,,,,,,,,24,,,8,,,,,,6,,,,,22,21,110,,33,227,,,,,,,,,,55,,,,2,,,,,,35,2,,41,,,,17,,,,,,2,,,,,2,1,,,,,,20,,,,16,25,16,,,,,73,2,2,1,,55,,,,,,,,,,19,,,12,,,34,,1,,,,1,,,,,,,342,,175,,1,,,19,,,,1531
1980,,,,,,,,,13,13,,,,,1,,,,,9,,91,2,,,,,,,,20,,,8,,,,,,24,,4,,,21,30,8,,48,303,,,,5,,,1,,,63,,16,,,3,,,,,40,3,,1,,,,,,,,,1,4,,,,,10,4,,,,,,10,,,,15,,,,,,,50,,5,,,68,,,,,,,,,,11,,,43,,2,52,,,,,,,,,,,1,,496,,30,,1,,,57,,15,,1602
1984,,2,,,2,,,,52,4,,,,,5,,,,,36,,,91,,74,1,1,1,,,,,,13,,1,,1,,19,,,,,31,70,166,,73,33,,,,2,,,,,,,,,,,1,,1,,,65,7,,50,,3,,41,,,,,,2,,,,,6,,,,,,,41,,5,,19,23,16,,,1,,,3,,2,,106,,,,,,,,,,21,,,64,1,,28,,1,,,1,,,3,,,,,56,,361,,3,,,88,1,,,1698
1988,,3,,1,,,13,,35,13,,,,,2,,,,,23,,41,29,1,52,,,1,1,,,,,7,1,,,,,5,,,,,38,31,129,,54,213,,,,1,,,,,,44,3,,,1,,,,,1,37,7,,21,,9,,77,,,,,,1,,,,,2,1,,,,,,52,,,,33,24,1,,,12,1,21,1,,,,58,,,,1,,,,,,28,1,,46,,,16,,1,,,,,,2,,,,,366,,214,,,,,69,,,,1845
1992,,3,,,2,,2,,57,35,,1,,,3,,,,,14,,17,80,,85,,,1,,15,69,,,14,,,,,,70,3,3,279,,20,69,,,50,,,236,20,2,,,,,,45,6,,3,3,2,,,2,,66,4,,59,,8,,56,,,,3,,,13,2,2,,1,2,,,,,2,37,,11,,47,16,16,,,1,1,46,,11,1,1,53,3,,,,,6,,,,8,1,,42,,,35,,1,,,20,,,6,,,,,,,238,,,,,,,,,2030
1994,,,,,,,,,4,12,,,,,,,2,,,,,,37,,3,,,,,,,,,,,,,,,,,,,,30,11,,,3,,,40,,,,,,,,,,,,,,,,,,32,,,10,3,,,9,,,,,,,,,,,,,,,,,,4,,,,30,,,,,,,,,,,,,,36,,,,3,,,,16,,,24,,,,,,,,,,,,,,,2,,,19,1,,,,,,,,331
